place_fips,city_name,state_fips,state_name,reform_name,reform_type,effective_date,baseline_wrluri
0673048,Chico city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.47
0674698,Newport Beach city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.86
0675979,San Leandro city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.65
0676502,San Marcos city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.52
0677426,Whittier city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.74
0678647,Hawthorne city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.56
0679903,Citrus Heights city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.58
0680493,Alhambra city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.67
0681991,Tracy city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.69
0682177,Livermore city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.52
0683214,Buena Park city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.74
0684114,Menifee city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
0685105,Hemet city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
0686368,Lakewood city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.88
0687695,Merced city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.81
0688225,Chino city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.83
0689706,Indio city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.6
0690556,Redwood City city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.66
0691403,Lake Forest city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.76
0692359,Napa city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.47
0693888,Tustin city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.47
0694988,Bellflower city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.85
0695368,Mountain View city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.42
0696629,Chino Hills city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.54
0697604,Baldwin Park city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.43
0698362,Alameda city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.54
0699634,Upland city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.68
06100694,San Ramon city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.82
06101585,Folsom city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
06102810,Pleasanton city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.64
06103627,Lynwood city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.85
06104106,Union City city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.52
06105469,Apple Valley city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.82
06106844,Redlands city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.46
06107705,Turlock city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.73
06108346,Perris city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.81
06109076,Manteca city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.53
06110706,Milpitas city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.86
06111259,Lodi city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
06112853,Cupertino city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.58
06113500,San Luis Obispo city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
06114805,Walnut Creek city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.43
06115339,Tulare city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.79
06116505,Yorba Linda city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.7
06117181,Davis city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.31
06118396,Camarillo city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.62
06119503,Madera city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.5
06120236,Yuba City city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.87
06121803,San Clemente city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.78
06122186,Pico Rivera city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.41
06123020,Laguna Niguel city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
06124273,South San Francisco city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.58
06125957,Montebello city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.62
06126558,Encinitas city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.48
06127871,Petaluma city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.3
06128526,San Rafael city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.44
06129749,La Habra city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.69
06130512,Santee city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.86
06131039,Arcadia city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.53
06132581,Fountain Valley city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.7
06133884,Diamond Bar city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.83
06134240,Porterville city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.48
06135575,Novato city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.8
06136211,Woodland city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.41
06137203,Hanford city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.59
06138307,Poway city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.72
06139130,Highland city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.85
06140941,West Sacramento city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.67
06141103,Rancho Cordova city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.74
06142119,San Jacinto city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.41
06143595,Rocklin city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.78
06144833,Cathedral City city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.61
06145413,Dublin city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.7
06146283,Delano city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.87
06147824,Morgan Hill city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.82
06148619,Colton city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.58
06149772,Danville city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.3
06150035,San Gabriel city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.81
06151617,La Mesa city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.47
06152799,Azusa city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.73
06153966,Gilroy city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.87
06154270,Rancho Palos Verdes city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.38
06155719,Paramount city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.67
06156825,Brea city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.6
06157492,Beaumont city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.48
06158081,Glendora city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.73
06159267,Palm Springs city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.4
06160204,Cerritos city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.57
06161000,West Hollywood city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.33
06162558,Aliso Viejo city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.73
06163744,San Bruno city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.65
06164514,Covina city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.81
06165683,La Mirada city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.87
06166123,Rohnert Park city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.74
06167790,Cypress city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.79
06168686,Newark city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.85
06169035,Eastvale city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.78
06170715,Coachella city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.59
06171925,Pittsburg city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.59
06172335,Campbell city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.33
06173281,Martinez city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.46
06174166,Palm Desert city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.49
06175291,Brentwood city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.64
06176800,Pacifica city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
06177003,Los Banos city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.86
06178442,Beverly Hills city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.34
06179359,San Dimas city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.44
06180532,Culver City city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.49
06181694,Gardena city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.89
06182408,Rosemead city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.42
06183952,Lompoc city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.72
06184533,National City city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.43
06185609,Laguna Hills city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.47
06186487,Stanton city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.56
06187700,La Quinta city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.67
06188793,Oakley city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.62
06189642,Monterey Park city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.82
06190455,La Puente city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.85
06191556,Monrovia city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.82
06192185,Hercules city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.49
06193144,Temple City city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.46
06194769,Hollister city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
06195016,Bell Gardens city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.72
06196671,Ceres city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.53
06197561,Los Gatos city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
06198121,Saratoga city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.39
06199569,Benicia city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.39
06200823,San Fernando city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.39
06201765,El Centro city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.51
4101553,Salem city,41,Oregon,HB2001 Middle Housing,Comprehensive Reform,2022-06-01,1.19
4102207,Gresham city,41,Oregon,HB2001 Middle Housing,Comprehensive Reform,2022-06-01,1.19
4103599,Hillsboro city,41,Oregon,HB2001 Middle Housing,Comprehensive Reform,2022-06-01,1.17
4104108,Bend city,41,Oregon,HB2001 Middle Housing,Comprehensive Reform,2022-06-01,1.33
4105171,Beaverton city,41,Oregon,HB2001 Middle Housing,Comprehensive Reform,2022-06-01,1.26
4106066,Medford city,41,Oregon,HB2001 Middle Housing,Comprehensive Reform,2022-06-01,1.15
4107430,Springfield city,41,Oregon,HB2001 Middle Housing,Comprehensive Reform,2022-06-01,1.15
4108218,Corvallis city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,1.18
4109143,Albany city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.75
4110673,Tigard city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.95
4111716,Lake Oswego city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,1.13
4112315,Keizer city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.82
4113476,Grants Pass city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.81
4114327,Oregon City city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.92
4115882,McMinnville city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.99
4116671,Redmond city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,1.12
4117481,Tualatin city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.85
4118751,West Linn city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.87
4119829,Woodburn city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.94
4120578,Wilsonville city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.73
4121791,Forest Grove city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.61
4122570,Newberg city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.8
4123911,Roseburg city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,1.1
4124008,Klamath Falls city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,1.12
4125229,Ashland city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.63
4126570,Milwaukie city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.76
4127249,Central Point city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.67
4128450,Canby city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.71
4129762,Troutdale city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.72
4130019,Pendleton city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.79
4131432,Hermiston city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.71
4132460,La Grande city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.79
4133801,Coos Bay city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.68
4134343,The Dalles city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.73
4135985,St. Helens city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.74
4136754,Silverton city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.69
4137076,Happy Valley city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.97
4138095,Sherwood city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.68
4139365,Dallas city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.73
4140222,Lebanon city,41,Oregon,HB2001 Duplex Allowance,ADU/Lot Split,2021-06-01,0.64
5301016,Tacoma city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.31
5302253,Vancouver city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.34
5303808,Bellevue city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.34
5304763,Kent city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.34
5305211,Everett city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.27
5306866,Renton city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.2
5307950,Federal Way city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.31
5308640,Spokane Valley city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.44
5309098,Kirkland city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.29
5310571,Bellingham city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.9
5311939,Auburn city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.82
5312336,Kennewick city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.11
5313437,Marysville city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.93
5314259,Pasco city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.17
5315478,Lakewood city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.94
5316680,Redmond city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.89
5317063,Sammamish city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.25
5318349,Richland city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.99
5319922,Olympia city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.84
5320000,Lacey city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.19
5321587,Burien city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.8
5322206,Bothell city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.99
5323946,Edmonds city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.89
5324607,Puyallup city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.04
5325762,Bremerton city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,0.93
5326432,Lynnwood city,53,Washington,HB1110 Middle Housing,Comprehensive Reform,2024-06-01,1.03
